popularity,vote_average,vote_count,original_title,release_year,release_month,release_day,release_weekday,is_weekend_release,years_since_release,overview_length,title_length,vote_power,rating_power
10.189,8.1,370,9351.0,1965,4,3,5,1,58,451,3,47.92123670712022,47.92123670712022
26.68,8.1,473,9229.0,2019,10,25,4,0,4,179,4,49.90577930573012,49.90577930573012
18.24,8.126,2228,8965.0,1979,5,25,4,0,44,263,7,62.64583951709357,62.64583951709357
33.675,8.125,10678,2618.0,1987,6,26,4,0,36,180,17,75.3677801107688,75.3677801107688
29.079,8.124,7930,8770.0,2017,11,13,0,0,6,146,6,72.9416135475169,72.9416135475169
9.132,8.124,1663,6167.0,1957,8,28,2,0,66,429,15,60.2555424441005,60.2555424441005
60.265,8.121,12218,1308.0,2017,7,28,4,0,6,143,20,76.42467960548647,76.42467960548647
35.174,8.12,14483,5661.0,1992,9,2,2,0,31,276,14,77.7960949515905,77.7960949515905
58.406,8.121,13132,6605.0,1991,7,3,2,0,32,285,26,77.01049629917708,77.01049629917708
26.395,8.117,5707,2041.0,1964,1,29,2,0,59,199,68,70.20899783426964,70.20899783426964
19.547,8.116,3262,7058.0,2020,12,23,2,0,3,203,10,65.66170503915139,65.66170503915139
9.012,8.115,6690,4235.0,1998,8,28,4,0,25,232,35,71.48112859142256,71.48112859142256
31.105,8.1,2631,5403.0,2019,9,18,2,0,4,145,33,63.791544268806184,63.791544268806184
50.13,8.114,10651,6224.0,2020,12,25,4,0,3,464,4,75.24520291142105,75.24520291142105
13.67,8.1,1835,2026.0,1944,7,6,3,0,79,126,16,60.87429102656153,60.87429102656153
4.953,8.1,345,3887.0,1959,10,28,2,0,64,173,16,47.35615407796757,47.35615407796757
14.355,8.1,315,9303.0,2021,7,23,4,0,2,152,11,46.621511930053984,46.621511930053984
19.061,8.11,2816,4560.0,1927,2,6,6,1,96,182,10,64.42119919747738,64.42119919747738
16.89,8.109,1662,5190.0,2021,1,28,3,0,2,248,6,60.13941308777545,60.13941308777545
5.028,8.1,349,9022.0,1996,3,29,4,0,27,279,37,47.449258551316014,47.449258551316014
18.78,8.108,2139,7201.0,2018,10,19,4,0,5,251,15,62.1766934637929,62.1766934637929
31.899,8.104,4607,1613.0,2017,1,6,4,0,6,195,12,68.36169073605288,68.36169073605288
36.319,8.105,2851,9325.0,2000,9,29,4,0,23,112,4,64.48156270933458,64.48156270933458
25.45,8.1,1388,4719.0,2020,4,12,6,1,3,629,41,58.614348676310186,58.614348676310186
39.577,8.101,2623,5496.0,2022,7,29,4,0,1,149,13,63.774759170668304,63.774759170668304
6.31,8.1,547,3900.0,2003,6,22,6,1,20,227,18,51.08082982427893,51.08082982427893
7.18,8.1,712,3224.0,1958,7,26,5,1,65,457,15,53.2127995053558,53.2127995053558
58.398,8.098,12012,5453.0,2013,9,19,3,0,10,261,9,76.0705443839917,76.0705443839917
54.022,8.097,19034,8569.0,2008,6,22,6,1,15,505,6,79.78811871340798,79.78811871340798
15.198,8.1,382,9232.0,1954,3,31,2,0,69,112,4,48.17908341236323,48.17908341236323
37.85,8.1,1929,5226.0,1984,7,16,0,0,39,201,12,61.278729783381344,61.278729783381344
33.904,8.1,2834,3357.0,2010,9,17,4,0,13,302,9,64.393357450911,64.393357450911
23.947,8.093,1807,9028.0,2013,11,23,5,1,10,239,7,60.69731014592552,60.69731014592552
38.243,8.093,3535,6196.0,1959,3,19,3,0,64,394,16,66.12589127246973,66.12589127246973
78.119,8.093,15247,2262.0,2004,3,19,4,0,19,255,37,77.95342394436,77.95342394436
27.24,8.1,4283,3483.0,2012,6,13,2,0,11,239,6,67.73740369569788,67.73740369569788
12.725,8.1,1490,9302.0,1961,4,25,1,0,62,414,3,59.18833874959437,59.18833874959437
78.941,8.1,20856,2927.0,2011,7,12,1,0,12,263,44,80.55810370860274,80.55810370860274
